date, pm25, pm10, o3, no2, so2, co
2023/11/2, 13, 19, , , , 
2023/11/3, 19, 23, , , , 
2023/11/4, 25, 22, , , , 
2023/11/5, 30, 19, , , , 
2023/11/6, 25, 21, , , , 
2023/11/7, 21, 12, , , , 
2023/11/8, 15, 16, , , , 
2023/11/9, 14, 18, , , , 
2023/11/10, 15, 14, , , , 
2023/11/11, 19, 7, , , , 
2023/11/12, 13, 7, , , , 
2023/11/13, 13, 12, , , , 
2023/11/14, 11, 21, , , , 
2023/11/15, 10, , , , , 
2023/10/2, 39, 20, , , , 
2023/10/3, 29, 22, , , , 
2023/10/4, 33, 25, , , , 
2023/10/5, 38, 30, , , , 
2023/10/6, 39, 22, , , , 
2023/10/7, 25, 20, , , , 
2023/10/8, 28, 24, , , , 
2023/10/9, 33, 22, , , , 
2023/10/10, 28, 31, , , , 
2023/10/11, 38, 30, , , , 
2023/10/12, 29, 36, , , , 
2023/10/13, 38, 32, , , , 
2023/10/14, 34, 28, , , , 
2023/10/15, 34, 20, , , , 
2023/10/16, 24, 27, , , , 
2023/10/17, 24, 31, , , , 
2023/10/18, 35, 31, , , , 
2023/10/19, 26, 41, , , , 
2023/10/20, 47, 51, , , , 
2023/10/21, 59, 32, , , , 
2023/10/22, 45, 25, , , , 
2023/10/23, 35, 21, , , , 
2023/10/24, 33, , , , , 
2023/10/30, 25, 12, , , , 
2023/10/31, 19, 16, , , , 
2023/11/1, 16, 13, , , , 
2023/7/2, 114, 11, , , , 
2023/7/3, 22, 23, , , , 
2023/7/4, 36, 23, , , , 
2023/7/5, 48, 30, , , , 
2023/7/6, 53, 35, , , , 
2023/7/7, 70, 31, , , , 
2023/7/8, 66, 8, , , , 
2023/7/9, 19, 26, , , , 
2023/7/10, 76, 18, , , , 
2023/7/11, 40, 28, , , , 
2023/7/12, 70, 24, , , , 
2023/7/13, 47, 46, , , , 
2023/7/14, 85, 63, , , , 
2023/7/15, 130, 40, , , , 
2023/7/16, 91, 27, , , , 
2023/7/17, 65, 66, , , , 
2023/7/18, 124, 79, , , , 
2023/7/19, 159, 69, , , , 
2023/7/20, 141, 39, , , , 
2023/7/21, 80, 9, , , , 
2023/7/22, 15, 10, , , , 
2023/7/23, 19, 29, , , , 
2023/7/24, 65, 54, , , , 
2023/7/25, 122, 20, , , , 
2023/7/26, 50, 24, , , , 
2023/7/27, 52, 46, , , , 
2023/7/28, 93, 72, , , , 
2023/7/29, 133, 47, , , , 
2023/7/30, 106, 39, , , , 
2023/7/31, 93, 25, , , , 
2023/8/1, 60, 28, , , , 
2023/8/2, 62, 21, , , , 
2023/8/3, 35, 24, , , , 
2023/8/4, 43, 32, , , , 
2023/8/5, 60, 42, , , , 
2023/8/6, 94, 31, , , , 
2023/8/7, 68, 37, , , , 
2023/8/8, 83, 68, , , , 
2023/8/9, 144, 44, , , , 
2023/8/10, 90, 17, , , , 
2023/8/11, 47, 23, , , , 
2023/8/12, 58, 15, , , , 
2023/8/13, 34, 28, , , , 
2023/8/14, 59, 54, , , , 
2023/8/15, 106, 28, , , , 
2023/8/16, 65, 13, , , , 
2023/8/17, 26, 15, , , , 
2023/8/18, 32, 39, , , , 
2023/8/19, 77, 9, , , , 
2023/8/20, 23, 2, , , , 
2023/8/21, 8, 7, , , , 
2023/8/22, 23, 5, , , , 
2023/8/23, 18, 13, , , , 
2023/8/24, 26, 23, , , , 
2023/8/25, 36, 31, , , , 
2023/8/26, 76, 23, , , , 
2023/8/27, 53, 41, , , , 
2023/8/28, 93, 32, , , , 
2023/8/29, 80, 31, , , , 
2023/8/30, 73, 18, , , , 
2023/8/31, 32, 24, , , , 
2023/9/1, 35, 38, , , , 
2023/9/2, 75, 16, , , , 
2023/9/3, 52, 10, , , , 
2023/9/4, 23, 20, , , , 
2023/9/5, 46, 25, , , , 
2023/9/6, 68, 16, , , , 
2023/9/7, 28, 26, , , , 
2023/9/8, 45, 31, , , , 
2023/9/9, 47, 14, , , , 
2023/9/10, 24, 6, , , , 
2023/9/11, 13, 16, , , , 
2023/9/12, 28, 23, , , , 
2023/9/13, 34, 33, , , , 
2023/9/14, 59, 19, , , , 
2023/9/15, 45, 15, , , , 
2023/9/16, 32, 14, , , , 
2023/9/17, 27, 14, , , , 
2023/9/18, 26, 12, , , , 
2023/9/19, 24, 15, , , , 
2023/9/20, 31, 31, , , , 
2023/9/21, 53, 17, , , , 
2023/9/22, 25, 28, , , , 
2023/9/23, 35, 15, , , , 
2023/9/24, 27, 15, , , , 
2023/9/25, 30, 25, , , , 
2023/9/26, 35, 16, , , , 
2023/9/27, 20, 19, , , , 
2023/9/28, 24, 17, , , , 
2023/9/29, 24, 30, , , , 
2023/9/30, 35, 35, , , , 
2023/10/1, 42, 22, , , , 
2023/4/2, 54, 29, , , , 
2023/4/3, 44, 33, , , , 
2023/4/4, 32, 49, , , , 
2023/4/5, 57, 45, , , , 
2023/4/6, 33, 37, , , , 
2023/4/7, 26, 29, , , , 
2023/4/8, 34, 37, , , , 
2023/4/9, 51, 41, , , , 
2023/4/10, 60, 46, , , , 
2023/4/11, 58, 34, , , , 
2023/4/12, 30, 39, , , , 
2023/4/13, 29, 29, , , , 
2023/4/14, 26, 43, , , , 
2023/4/15, 61, 43, , , , 
2023/4/16, 71, 33, , , , 
2023/4/17, 47, 31, , , , 
2023/4/18, 27, 38, , , , 
2023/4/19, 40, 56, , , , 
2023/4/20, 66, 54, , , , 
2023/4/21, 51, 28, , , , 
2023/4/22, 33, 32, , , , 
2023/4/23, 133, 38, , , , 
2023/4/24, 80, 40, , , , 
2023/4/25, 64, 59, , , , 
2023/4/26, 112, 97, , , , 
2023/4/27, 166, 67, , , , 
2023/4/28, 111, 44, , , , 
2023/4/29, 42, 7, , , , 
2023/4/30, 13, 14, , , , 
2023/5/1, 30, 17, , , , 
2023/5/2, 30, 25, , , , 
2023/5/3, 46, 27, , , , 
2023/5/4, 70, 32, , , , 
2023/5/5, 80, 42, , , , 
2023/5/6, 94, 30, , , , 
2023/5/7, 77, 39, , , , 
2023/5/8, 95, 50, , , , 
2023/5/9, 114, 62, , , , 
2023/5/10, 122, 65, , , , 
2023/5/11, 134, 50, , , , 
2023/5/12, 101, 36, , , , 
2023/5/13, 66, 26, , , , 
2023/5/14, 48, 31, , , , 
2023/5/15, 74, 28, , , , 
2023/5/16, 49, 42, , , , 
2023/5/17, 69, 57, , , , 
2023/5/18, 103, 42, , , , 
2023/5/19, 90, 50, , , , 
2023/5/20, 104, 42, , , , 
2023/5/21, 87, 18, , , , 
2023/5/22, 41, 8, , , , 
2023/5/23, 18, 8, , , , 
2023/5/24, 7, 24, , , , 
2023/5/25, 33, 49, , , , 
2023/5/26, 85, 31, , , , 
2023/5/27, 61, 18, , , , 
2023/5/28, 37, 41, , , , 
2023/5/29, 98, 51, , , , 
2023/5/30, 109, 67, , , , 
2023/5/31, 127, 41, , , , 
2023/6/1, 89, 24, , , , 
2023/6/2, 49, 17, , , , 
2023/6/3, 45, 23, , , , 
2023/6/4, 45, 22, , , , 
2023/6/5, 44, 60, , , , 
2023/6/6, 108, 67, , , , 
2023/6/7, 126, 32, , , , 
2023/6/8, 58, 17, , , , 
2023/6/9, 44, 25, , , , 
2023/6/10, 48, 29, , , , 
2023/6/11, 65, 19, , , , 
2023/6/12, 39, 23, , , , 
2023/6/13, 54, 47, , , , 
2023/6/14, 101, 59, , , , 
2023/6/15, 125, 56, , , , 
2023/6/16, 117, 22, , , , 
2023/6/17, 53, 32, , , , 
2023/6/18, 73, 44, , , , 
2023/6/19, 94, 88, , , , 
2023/6/20, 153, 53, , , , 
2023/6/21, 101, 36, , , , 
2023/6/22, 73, 8, , , , 
2023/6/23, 22, 4, , , , 
2023/6/24, 5, 4, , , , 
2023/6/25, 5, 5, , , , 
2023/6/26, 26, 26, , , , 
2023/6/27, 59, 17, , , , 
2023/6/28, 52, 23, , , , 
2023/6/29, 43, 51, , , , 
2023/6/30, 93, 72, , , , 
2023/7/1, 135, 57, , , , 
2023/1/3, 37, 30, 15, 3, 1, 1
2023/1/4, 35, 38, 22, 1, 1, 2
2023/1/5, 43, 31, 16, , , 5
2023/1/6, 35, 36, 16, 1, 1, 2
2023/1/7, 36, 23, 17, , 1, 2
2023/1/8, 19, 20, 19, , 1, 2
2023/1/9, 15, 26, 17, , 1, 2
2023/1/10, 22, 22, 22, 1, 1, 2
2023/1/11, 17, 38, 20, 5, 1, 3
2023/1/12, 20, 35, 24, 4, 1, 2
2023/1/13, 21, 32, 23, 2, 1, 2
2023/1/14, 19, 34, 26, 5, 1, 3
2023/1/15, 32, 24, 19, 3, 1, 2
2023/1/16, 16, 38, 24, 4, 1, 3
2023/1/17, 49, 32, 16, 1, 1, 3
2023/1/18, 34, 38, 24, 3, 1, 2
2023/1/19, 38, 38, 12, 1, 1, 2
2023/1/20, 36, 29, 18, 2, 1, 2
2023/1/21, 28, 27, 22, 2, 1, 2
2023/1/22, 30, 23, 15, 6, 1, 2
2023/1/23, 16, 40, 27, 4, 4, 3
2023/1/24, 51, 17, 16, 2, 1, 2
2023/1/25, 17, 22, 22, 1, 1, 2
2023/1/26, 14, 28, 23, 3, 1, 2
2023/1/27, 21, 28, 20, 5, 1, 2
2023/1/28, 20, 32, 27, 5, 1, 3
2023/1/29, 36, 28, 17, 5, 1, 3
2023/1/30, 36, 26, 21, 3, 1, 3
2023/1/31, 16, 34, 17, 1, 1, 2
2023/2/1, 37, 40, 27, 5, 2, 2
2023/2/2, 37, 51, 26, 6, 1, 4
2023/2/3, 56, 59, 33, 2, 2, 4
2023/2/4, 80, 65, 20, 1, 1, 3
2023/2/5, 107, 71, 25, 2, 1, 5
2023/2/6, 132, 80, 51, 8, 1, 9
2023/2/7, 153, 111, 70, 14, 2, 13
2023/2/8, 198, 122, 69, 15, 2, 18
2023/2/9, 223, 116, 39, 12, 2, 13
2023/2/10, 207, 71, 29, 7, 1, 8
2023/2/11, 134, 59, 35, 6, 1, 6
2023/2/12, 117, 53, 16, 6, 1, 6
2023/2/13, 97, 24, 19, 3, 1, 2
2023/2/14, 19, 36, , , , 
2023/2/15, 32, 36, , , , 
2023/2/16, 31, 38, , , , 
2023/2/17, 30, 46, , , , 
2023/2/18, 50, 52, , , , 
2023/2/19, 70, 54, , , , 
2023/2/20, 79, 58, , , , 
2023/2/21, 101, 53, , , , 
2023/2/22, 84, 42, , , , 
2023/2/23, 61, 42, , , , 
2023/2/24, 56, 31, , , , 
2023/2/25, 32, 27, , , , 
2023/2/26, 34, 28, , , , 
2023/2/27, 26, 39, , , , 
2023/2/28, 41, 41, , , , 
2023/3/1, 35, 35, , , , 
2023/3/2, 21, 34, , , , 
2023/3/3, 27, 43, , , , 
2023/3/4, 30, 30, , , , 
2023/3/5, 32, 35, , , , 
2023/3/6, 47, 29, , , , 
2023/3/7, 26, 26, , , , 
2023/3/8, 19, 18, , , , 
2023/3/9, 15, 30, , , , 
2023/3/10, 22, 41, , , , 
2023/3/11, 31, 20, , , , 
2023/3/12, 15, 16, , , , 
2023/3/13, 8, 24, , , , 
2023/3/14, 13, 26, , , , 
2023/3/15, 11, 25, , , , 
2023/3/16, 15, 27, , , , 
2023/3/17, 14, 20, , , , 
2023/3/18, 12, 26, , , , 
2023/3/19, 23, 22, , , , 
2023/3/20, 25, 31, , , , 
2023/3/21, 30, 45, , , , 
2023/3/22, 46, 52, , , , 
2023/3/23, 61, 60, , , , 
2023/3/24, 85, 57, , , , 
2023/3/25, 77, 48, , , , 
2023/3/26, 65, 52, , , , 
2023/3/27, 82, 46, , , , 
2023/3/28, 54, 33, , , , 
2023/3/29, 28, 25, , , , 
2023/3/30, 19, 33, , , , 
2023/3/31, 22, 47, , , , 
2023/4/1, 55, 47, , , , 
2022/10/2, 55, 29, 17, 5, , 4
2022/10/3, 50, 23, 14, 3, , 3
2022/10/4, 36, 26, 14, 5, , 4
2022/10/5, 38, 18, 14, 3, , 4
2022/10/6, 28, 25, 16, 5, , 3
2022/10/7, 24, 28, 11, 5, 1, 4
2022/10/8, 41, 13, 17, 1, 1, 3
2022/10/9, 16, 19, 15, 4, 1, 3
2022/10/10, 36, 19, 14, 4, , 3
2022/10/11, 32, 32, 16, 6, , 4
2022/10/12, 46, 19, 15, 4, , 3
2022/10/13, 29, 28, 18, 4, , 3
2022/10/14, 29, 30, 15, 5, , 4
2022/10/15, 36, 35, 19, 10, , 11
2022/10/16, 49, 22, 16, 6, , 5
2022/10/17, 31, 20, 10, 2, , 3
2022/10/18, 23, 13, 15, 2, , 3
2022/10/19, 19, 23, 11, 6, , 5
2022/10/20, 27, 28, 16, 4, , 4
2022/10/21, 39, 21, 15, 6, 1, 4
2022/10/22, 18, 25, 17, 7, 1, 5
2022/10/23, 30, 19, 16, 3, 1, 4
2022/10/24, 23, 22, 16, 3, , 4
2022/10/25, 22, 26, 9, 2, , 4
2022/10/26, 18, 21, 13, 4, , 7
2022/10/27, 24, 24, 19, 5, , 7
2022/10/28, 21, 26, 11, 5, , 
2022/10/29, 24, 22, 7, 5, , 
2022/10/30, 25, 28, 14, 1, 1, 
2022/10/31, 14, 30, 16, 2, , 
2022/11/1, 17, 25, 18, 5, , 
2022/11/2, 34, 38, 19, 10, , 
2022/11/3, 50, 33, 13, 5, 1, 
2022/11/4, 44, 29, 12, 4, , 
2022/11/5, 42, 30, 18, 5, 1, 
2022/11/6, 48, 23, 17, 5, 1, 
2022/11/7, 45, 33, 21, 6, 1, 
2022/11/8, 55, 29, 11, 5, 1, 
2022/11/9, 50, 13, 12, 4, 1, 
2022/11/10, 48, 13, 9, 6, , 1
2022/11/11, 45, 6, 9, 4, 1, 
2022/11/12, 33, 6, 8, 4, 1, 
2022/11/13, 13, 6, 11, 5, 1, 1
2022/11/14, 18, 8, 14, 6, 1, 
2022/11/15, 16, 17, 13, 6, 1, 
2022/11/16, 24, 20, 16, 6, 1, 
2022/11/17, 26, 23, 20, 7, 1, 1
2022/11/18, 35, 23, 17, 5, 1, 
2022/11/19, 33, 19, 16, 5, 1, 
2022/11/20, 27, 18, 16, 4, 1, 
2022/11/21, 23, 28, 20, 6, 1, 
2022/11/22, 22, 31, 18, 5, 1, 
2022/11/23, 30, 28, 15, 5, 1, 
2022/11/24, 22, 25, 17, 4, 1, 
2022/11/25, 28, 32, 20, 8, 1, 1
2022/11/26, 37, 38, 24, 6, 1, 1
2022/11/27, 44, 26, 14, 3, 1, 
2022/11/28, 36, 22, 13, 3, 1, 
2022/11/29, 35, 22, 16, 4, 1, 
2022/11/30, 35, 24, 18, 4, 1, 
2022/12/1, 28, 31, 22, 6, 1, 
2022/12/2, 30, 31, 24, 8, 1, 1
2022/12/3, 36, 26, 16, 8, 1, 1
2022/12/4, 31, 19, 19, 5, 1, 1
2022/12/5, 26, 29, 19, 8, 1, 1
2022/12/6, 35, 25, 17, 6, 1, 
2022/12/7, 24, 26, 15, 7, 1, 1
2022/12/8, 25, 15, 20, 3, 1, 4
2022/12/9, 22, 19, 13, 3, 1, 
2022/12/10, 20, 23, 20, 4, 2, 
2022/12/11, 19, 28, 19, 2, 2, 
2022/12/12, 24, 29, 17, 2, 2, 
2022/12/13, 21, 25, 20, 4, 2, 1
2022/12/14, 26, 27, 17, 6, 2, 1
2022/12/15, 29, 33, 22, 6, 1, 1
2022/12/16, 30, 36, 17, 6, 1, 1
2022/12/17, 42, 32, 18, 3, 1, 1
2022/12/18, 55, 23, 20, 4, 1, 1
2022/12/19, 39, 18, 9, 3, 1, 1
2022/12/20, 20, 20, 14, 3, 4, 1
2022/12/21, 22, 20, 13, 1, 1, 1
2022/12/22, 27, 23, 12, 2, 1, 1
2022/12/23, 30, 28, 19, 2, 1, 1
2022/12/24, 23, 24, 23, 14, 1, 2
2022/12/25, 26, 33, 16, 9, 1, 3
2022/12/26, 43, 31, 21, 1, 3, 4
2022/12/27, 50, 33, 16, 2, 1, 1
2022/12/28, 48, 33, 20, 5, 1, 1
2022/12/29, 39, 36, 25, 3, 1, 1
2022/12/30, 47, 37, 14, 3, 1, 2
2022/12/31, 58, 25, 11, 1, 1, 2
2023/1/1, 49, 23, 13, 2, , 1
2023/1/2, 43, 21, 15, 2, , 2
2022/7/2, 34, 13, 13, 7, , 7
2022/7/3, 42, 25, 9, 12, , 18
2022/7/4, 74, 23, 9, 11, , 7
2022/7/5, 64, 24, 10, 8, , 4
2022/7/6, 70, 12, 14, 9, , 10
2022/7/7, 32, 39, 7, 14, , 23
2022/7/8, 102, 32, 11, 9, , 13
2022/7/9, 90, 10, 15, 5, , 2
2022/7/10, 27, 9, 13, 6, , 7
2022/7/11, 31, 36, 7, 13, , 19
2022/7/12, 104, 22, 4, 13, , 13
2022/7/13, 69, 16, 12, 9, , 5
2022/7/14, 53, 23, 9, 14, , 3
2022/7/15, 79, 20, 6, 13, , 6
2022/7/16, 75, 20, 14, 10, , 16
2022/7/17, 62, 14, 6, 10, , 5
2022/7/18, 58, 18, 9, 9, , 7
2022/7/19, 55, 23, 10, 8, , 9
2022/7/20, 74, 32, 8, 12, , 8
2022/7/21, 101, 31, 5, 10, , 10
2022/7/22, 99, 44, 7, 11, , 13
2022/7/23, 114, 40, 3, 10, , 14
2022/7/24, 110, 35, 5, 7, 1, 15
2022/7/25, 98, 14, 11, 6, , 2
2022/7/26, 43, 17, 10, 9, , 3
2022/7/27, 51, 34, 11, 10, , 10
2022/7/28, 91, 25, 10, 7, 1, 8
2022/7/29, 72, 31, 10, 10, 1, 8
2022/7/30, 88, 36, 9, 10, , 9
2022/7/31, 102, 35, 13, 8, , 7
2022/8/1, 94, 28, 14, 10, , 9
2022/8/2, 73, 31, 10, 10, , 10
2022/8/3, 93, 39, 9, 9, 2, 9
2022/8/4, 113, 52, 8, 12, 9, 18
2022/8/5, 136, 51, 4, 18, , 13
2022/8/6, 139, 18, 9, 10, , 6
2022/8/7, 64, 17, 14, 6, , 7
2022/8/8, 55, 27, 11, 9, 1, 9
2022/8/9, 73, 28, 10, 9, , 11
2022/8/10, 75, 49, 13, 11, , 12
2022/8/11, 118, 33, 10, 12, , 10
2022/8/12, 88, 20, 10, 10, , 5
2022/8/13, 53, 19, 9, 7, , 6
2022/8/14, 58, 13, 11, 5, , 3
2022/8/15, 39, 12, 11, 5, , 3
2022/8/16, 37, 10, 8, 6, , 2
2022/8/17, 34, 21, 15, 7, 82, 9
2022/8/18, 66, 18, 15, 5, , 5
2022/8/19, 56, 24, 12, 4, , 7
2022/8/20, 62, 41, 10, 3, , 11
2022/8/21, 109, 20, 12, 3, , 6
2022/8/22, 62, 18, 8, 5, , 7
2022/8/23, 58, 28, 12, 8, , 3
2022/8/24, 78, 30, 8, 8, , 7
2022/8/25, 82, 26, 9, 7, , 12
2022/8/26, 73, 38, 8, 9, , 13
2022/8/27, 103, 33, 13, 5, , 11
2022/8/28, 78, 23, 12, 7, , 9
2022/8/29, 57, 37, 12, 8, , 7
2022/8/30, 82, 20, 12, 5, , 2
2022/8/31, 53, 26, 12, 6, , 2
2022/9/1, 62, 37, 13, 9, , 7
2022/9/2, 75, 28, 14, 9, , 6
2022/9/3, 60, 40, 13, 10, , 10
2022/9/4, 93, 33, 13, 8, , 9
2022/9/5, 85, 47, 14, 13, , 11
2022/9/6, 85, 40, 12, 7, , 5
2022/9/7, 74, 10, 9, 6, , 2
2022/9/8, 36, 14, 14, 7, 41, 4
2022/9/9, 40, 26, 14, 8, , 4
2022/9/10, 56, 20, 15, 6, , 5
2022/9/11, 49, 18, 16, 4, 1, 3
2022/9/12, 44, 33, 17, 7, 1, 8
2022/9/13, 74, 33, 18, 4, 1, 2
2022/9/14, 57, 38, 18, 11, 1, 5
2022/9/15, 76, 34, 15, 9, 64, 6
2022/9/16, 67, 17, 10, 3, 1, 3
2022/9/17, 33, 15, 13, 3, , 3
2022/9/18, 37, 38, 16, 6, , 4
2022/9/19, 40, 20, 15, 6, , 6
2022/9/20, 51, 22, 13, 9, , 6
2022/9/21, 47, 18, 15, 9, , 8
2022/9/22, 53, 14, 15, 6, 1, 5
2022/9/23, 37, 22, 11, 5, , 3
2022/9/24, 35, 22, 7, 5, , 4
2022/9/25, 53, 20, 11, 4, , 4
2022/9/26, 48, 25, 14, 6, , 4
2022/9/27, 42, 24, 13, 6, , 4
2022/9/28, 45, 39, 15, 6, , 5
2022/9/29, 63, 24, 11, 3, , 3
2022/9/30, 38, 34, 17, 6, , 4
2022/10/1, 54, 35, 16, 7, , 4
2022/4/2, 85, 39, 14, 9, , 6
2022/4/3, 66, 15, 10, 3, , 2
2022/4/4, 19, 27, 9, 9, , 4
2022/4/5, 26, 45, 12, 16, , 8
2022/4/6, 51, 52, 12, 14, , 3
2022/4/7, 63, 46, 11, 13, , 2
2022/4/8, 53, 34, 12, 10, , 1
2022/4/9, 44, 19, 9, 5, , 
2022/4/10, 30, 15, 8, 6, , 1
2022/4/11, 28, 25, 10, 8, , 
2022/4/12, 31, 37, 24, 9, 3, 4
2022/4/13, 36, 42, 11, 12, , 5
2022/4/14, 58, 57, 15, 14, , 4
2022/4/15, 75, 21, 12, 5, , 1
2022/4/16, 45, 30, 14, 8, , 5
2022/4/17, 67, 36, 14, 10, , 5
2022/4/18, 86, 40, 11, 14, , 6
2022/4/19, 84, 32, 7, 12, , 6
2022/4/20, 76, 15, 8, 12, , 4
2022/4/21, 44, 35, 1, 18, , 9
2022/4/22, 93, 18, 5, 10, , 7
2022/4/23, 53, 17, 2, 8, , 8
2022/4/24, 57, 9, 6, 3, , 2
2022/4/25, 25, 7, 8, 7, , 2
2022/4/26, 28, 7, 9, 6, 1, 3
2022/4/27, 23, 15, 29, 13, 15, 14
2022/4/28, 42, 25, 11, 11, , 14
2022/4/29, 66, 22, 9, 12, , 10
2022/4/30, 60, 21, 9, 13, , 16
2022/5/1, 66, 23, 9, 11, , 15
2022/5/2, 74, 24, 9, 9, , 3
2022/5/3, 65, 30, 11, 13, , 7
2022/5/4, 75, 38, 5, 11, , 11
2022/5/5, 93, 46, 6, 10, , 7
2022/5/6, 121, 41, 9, 9, , 7
2022/5/7, 108, 39, 5, 8, , 12
2022/5/8, 113, 25, 6, 8, , 3
2022/5/9, 78, 35, 6, 9, , 4
2022/5/10, 94, 32, 3, 8, , 5
2022/5/11, 82, 66, 8, 14, , 14
2022/5/12, 156, 54, 2, 14, 1, 9
2022/5/13, 132, 18, 10, 6, , 3
2022/5/14, 52, 20, 7, 9, , 7
2022/5/15, 55, 47, 11, 12, , 24
2022/5/16, 120, 45, 8, 10, 60, 18
2022/5/17, 112, 32, 6, 12, , 9
2022/5/18, 91, 32, 8, 7, 1, 2
2022/5/19, 87, 40, 8, 13, , 4
2022/5/20, 90, 27, 10, 11, , 9
2022/5/21, 60, 36, 8, 10, , 24
2022/5/22, 91, 35, 3, 11, , 16
2022/5/23, 91, 14, 7, 13, 1, 6
2022/5/24, 41, 17, 6, 9, 1, 4
2022/5/25, 54, 20, 8, 7, , 6
2022/5/26, 56, 16, 4, 6, , 4
2022/5/27, 54, 24, 4, 7, 1, 2
2022/5/28, 75, 26, 7, 6, , 9
2022/5/29, 84, 29, 11, 10, , 17
2022/5/30, 89, 42, 6, 11, , 16
2022/5/31, 114, 34, 3, 14, 1, 6
2022/6/1, 108, 59, 4, 17, , 13
2022/6/2, 146, 38, 9, 17, , 14
2022/6/3, 102, 18, 7, 12, 1, 7
2022/6/4, 49, 9, 4, 10, , 1
2022/6/5, 37, 17, 9, 9, , 12
2022/6/6, 48, 26, 6, 9, , 18
2022/6/7, 66, 31, 10, 12, , 10
2022/6/8, 67, 35, 6, 11, 14, 12
2022/6/9, 80, 22, 9, 10, , 4
2022/6/10, 61, 25, 9, 12, , 11
2022/6/11, 67, 51, 8, 12, , 14
2022/6/12, 126, 27, 8, 5, , 15
2022/6/13, 77, 31, 7, 9, , 1
2022/6/14, 88, 29, 10, 12, , 6
2022/6/15, 80, 35, 10, 14, , 7
2022/6/16, 92, 24, 6, 9, , 3
2022/6/17, 69, 31, 10, 9, , 10
2022/6/18, 83, 31, 7, 8, , 11
2022/6/19, 88, 38, 6, 9, , 8
2022/6/20, 110, 45, 2, 12, , 9
2022/6/21, 122, 32, 8, 13, , 9
2022/6/22, 90, 43, 1, 16, , 12
2022/6/23, 114, 12, 12, 5, 1, 2
2022/6/24, 31, 24, 10, 11, , 17
2022/6/25, 57, 29, 7, 9, , 20
2022/6/26, 68, 35, 9, 7, , 24
2022/6/27, 93, 38, 6, 9, 1, 17
2022/6/28, 103, 26, 9, 12, , 9
2022/6/29, 65, 31, 5, 14, , 4
2022/6/30, 82, 15, 17, 7, , 1
2022/7/1, 45, 12, 16, 11, , 8
2022/1/4, 20, 19, 11, 1, , 5
2022/1/5, 16, 30, 18, 3, , 4
2022/1/6, 36, 35, 16, 4, , 4
2022/1/7, 42, 36, 25, 6, , 4
2022/1/8, 44, 33, 11, 5, 1, 4
2022/1/9, 34, 17, 15, 1, , 4
2022/1/10, 26, 26, 20, 3, , 4
2022/1/11, 32, 28, 15, 3, 2, 4
2022/1/12, 39, 30, 24, 3, , 5
2022/1/13, 45, 25, 14, 2, 1, 4
2022/1/14, 28, 22, 14, 2, , 4
2022/1/15, 27, 25, 13, 2, , 4
2022/1/16, 41, 20, 10, 1, , 4
2022/1/17, 24, 15, 12, 1, , 4
2022/1/18, 15, 22, 14, 1, 1, 5
2022/1/19, 19, 27, 17, 5, 1, 5
2022/1/20, 26, 26, 13, 4, , 8
2022/1/21, 27, 25, 14, 4, , 3
2022/1/22, 24, 17, 8, 2, , 3
2022/1/23, 21, 15, 12, 2, 1, 3
2022/1/24, 22, 21, 14, 3, , 3
2022/1/25, 20, 31, 17, 5, , 3
2022/1/26, 41, 29, 13, 10, , 7
2022/1/27, 48, 27, 10, 4, , 3
2022/1/28, 36, 31, 11, 4, , 4
2022/1/29, 48, 26, 14, 3, , 4
2022/1/30, 57, 21, 13, 3, , 4
2022/1/31, 43, 28, 16, 4, , 4
2022/2/1, 33, 35, 17, 8, 2, 5
2022/2/2, 45, 28, 13, 4, 3, 4
2022/2/3, 38, 25, 12, 3, , 4
2022/2/4, 36, 25, 15, 4, 1, 4
2022/2/5, 30, 24, 16, 5, , 4
2022/2/6, 25, 35, 26, 8, , 6
2022/2/7, 53, 34, 19, 6, 3, 5
2022/2/8, 53, 41, 20, 6, , 5
2022/2/9, 48, 48, 23, 8, 66, 6
2022/2/10, 79, 44, 22, 5, 4, 5
